timestamp,omega_eng(t),omega_load(t),delta_w(t)
0.52,101.7154141344865,102.66306501049348,-0.947650876006989
0.525,101.02521582480811,101.97176407002176,-0.9465482452136484
0.53,100.2766720510025,101.22108818308315,-0.9444161320806472
0.535,99.47036134167722,100.41161234677725,-0.9412510051000282
0.54,98.60690551241696,99.54397383518092,-0.9370683227639631
0.545,97.68697540738324,98.61886996410209,-0.931894556718845
0.55,96.71129796824026,97.63705546182541,-0.9257574935851522
0.555,95.68066191311661,96.59934012594523,-0.9186782128286239
0.56,94.59592021445636,95.50658721702243,-0.9106670025660719
0.565,93.45798888686633,94.359712707871,-0.9017238210046656
0.57,92.26784283833895,93.15968519699854,-0.8918423586595878
0.575,91.02651032587139,91.90752609939135,-0.8810157735199624
0.58,89.73506770787203,90.60430969215055,-0.8692419842785171
0.585,88.39463578026715,89.25116269583373,-0.856526915566576
0.59,87.00637824366598,87.84926325845593,-0.8428850147899567
0.595,85.57150206157387,86.3998394061792,-0.8283373446053304
0.6,84.09125889983132,84.90416716652963,-0.8129082666983152
0.605,82.56694662426818,83.36356862214477,-0.7966219978765849
0.61,80.9999099785022,81.77941011565386,-0.7795001371516577
0.615,79.391539961645,80.153100726022,-0.761560764377009
0.62,77.74327190425174,78.48609101681517,-0.7428191125634243
0.625,76.056582637369,76.77987195802547,-0.7232893206564626
0.63,74.33298735296302,75.03597387294093,-0.7029865199779124
0.635,72.57403673502546,73.25596526709938,-0.6819285320739255
0.64,70.78131474373586,71.4414514462531,-0.6601367025172351
0.645,68.95643715318066,69.59407290108268,-0.6376357479020243
0.65,67.10105067911984,67.71550350240071,-0.614452823280871
0.655,65.21683236669924,65.80744859193683,-0.5906162252375964
0.66,63.305488873847096,63.8716430619346,-0.5661541880875021
0.665,61.36875537211679,61.90984949490305,-0.5410941227862622
0.67,59.408393945227004,59.92385639502834,-0.5154624498013334
0.675,57.42619153458774,57.91547650048394,-0.4892849658962035
0.68,55.42395760617396,55.88654513478899,-0.46258752861503183
0.685,53.40352176287572,53.838918543208095,-0.4353967803323755
0.69,51.36673149841037,51.77447216749316,-0.4077406690827914
0.695,49.3154502051639,49.695098833415386,-0.3796486282514877
0.7,47.251555444568574,47.60270685157331,-0.35115140700473546
0.705,45.17693740052487,45.49921805394851,-0.32228065342363976
0.71,43.09349738867016,43.3865658005035,-0.29306841183333887
0.715,41.00314629485589,41.266692989807794,-0.26354669495190564
0.72,38.907802856581675,39.14155009747156,-0.2337472408898833
0.725,36.80939176202399,37.013093250876246,-0.20370148885225348
0.73,34.70984160022169,34.883282333977334,-0.1734407337556476
0.735,32.61108273505881,32.75407910625806,-0.1429963711992528
0.74,30.515045186139492,30.627445317404636,-0.1124001312651437
0.745,28.423656583222787,28.505340803472794,-0.08168422025000766
0.75,26.33884022709304,26.3897215588278,-0.05088133173476095
0.755,24.26251325207715,24.282537787564436,-0.020024535487287665
0.76,22.196577862449335,22.185733693057987,0.010844169391347691
0.765,20.142579726129906,20.1013303314214,0.04124939470850464
0.77,18.101725552944462,18.03141826075875,0.07030729218571352
0.775,16.07563026280011,15.977968504159884,0.09766175864022664
0.78,14.066391275590437,13.942812248126028,0.12357902746440885
0.785,12.076428198593113,11.927679129017323,0.14874906957579093
0.79,10.108228031293127,9.934258891037796,0.1739691402553305
0.795,8.16410199251825,7.964259842262052,0.19984215025619712
0.8,6.2460365297236695,6.019443542576838,0.22659298714683196
0.805,4.355673963637092,4.1016270087317634,0.2540469549053288
0.81,2.4944070335177737,2.2126565295609146,0.2817505039568591
0.815,0.6635346392643259,0.3543663809784827,0.30916825828584316
0.82,-1.1355862542649051,-1.4714612636892883,0.3358750094243832
0.825,-2.901445178821871,-3.263122109919916,0.361676931098045
