timestamp,omega_eng(t),omega_load(t),delta_w(t)
0.09,9.881123808009196,11.046111640340662,-1.164987832331466
0.091,9.990021310416726,11.157835395137747,-1.1678140847210212
0.092,10.110184751794208,11.265999710895857,-1.155814959101649
0.093,10.241022600592244,11.370752077689993,-1.129729477097749
0.094,10.381809329710805,11.472276033104281,-1.090466703393476
0.095,10.531701913319106,11.570787138579156,-1.0390852252600506
0.096,10.689757416093423,11.666528676860178,-0.9767712607667551
0.097,10.854951360366936,11.759767147814587,-0.9048157874476512
0.098,11.026196560323632,11.850787638862256,-0.8245910785386243
0.099,11.202362120184574,11.939889144219025,-0.7375270240344509
0.1,11.38229230504624,12.027379904142663,-0.6450875990964224
0.101,11.564825008476205,12.113572831448975,-0.5487478229727696
0.102,11.748809558886538,12.198781088046607,-0.44997152916006833
0.103,11.933123627948262,12.283313868908975,-0.3501902409607123
0.104,12.116689026806855,12.367472445283747,-0.25078341847689245
0.105,12.298486200956068,12.451546512696918,-0.15306031174085
0.106,12.477567260480434,12.535810882903093,-0.05824362242265835
0.107,12.653067503384683,12.620522528770735,0.03254497461394834
0.108,12.824219592978752,12.705916940799009,0.118302652179743
0.109,12.990362995169468,12.792205643326648,0.1981573518428199
0.11,13.150943570273224,12.879576143289002,0.2713674269842219
0.111,13.305517171213747,12.968190847886017,0.33732632332772994
0.112,13.453751870695255,13.058186295568381,0.3955655751268736
0.113,13.59542835043969,13.14967281664573,0.44575553379396027
0.114,13.730438505927497,13.242734610004305,0.4877038959231914
0.115,13.858782350259085,13.337430215197417,0.5213521350616688
0.116,13.980563325149523,13.433793353418006,0.5467699717315178
0.117,14.095982148740783,13.531834105813124,0.5641480429276591
0.118,14.20532934832949,13.631540393384412,0.5737889549450781
0.119,14.30897664154877,13.732879719262977,0.5760969222857923
0.12,14.407367341489698,13.835801131576886,0.5715662099128114
0.121,14.501005970161573,13.940237363325874,0.5607686068356994
0.122,14.590447270327397,14.046107104697597,0.5443401656297997
0.123,14.676284808096355,14.153317363098449,0.5229674449979065
0.124,14.7591393586945,14.261765866583424,0.49737349211107507
0.125,14.839647263924746,14.371343467752398,0.4683037961723482
0.126,14.918448944824453,14.481936506818412,0.4365124380060408
0.127,14.99617774437257,14.59342909508112,0.4027486492914498
0.128,15.073449264528339,14.705705283009872,0.3677439815184673
0.129,15.150851350665,14.818651080238803,0.33220027042619726
