timestamp,tire_F(t),suspension_travel(t),seat_a(t)
0.0,-4405.242208515037,0.808705,-0.000999999933789771
0.01,-4432.612792224143,0.8088378743665039,0.03473443306056841
0.02,-4439.278109705797,0.8090195349158567,0.05505010213848323
0.03,-4447.028727292372,0.8091941324421302,0.07633180006007857
0.04,-4461.194054201709,0.8093555398238749,0.10044264505816045
0.05,-4446.79748640276,0.8095042247570738,0.12552087824579797
0.06,-4441.676916004584,0.8096624590234265,0.1434876782796304
0.07,-4488.757904264249,0.8098089621230514,0.1670355858224885
0.08,-4496.199555287843,0.8099180829431327,0.19891048730404084
0.09,-4491.110269280598,0.8100180693425362,0.22672894109466976
0.1,-4514.157896137223,0.810114067183429,0.25432716209532863
0.11,-4515.540925179869,0.8101876447454652,0.2878888311375306
0.12,-4441.811737540886,0.8102752746825855,0.30072479438169164
0.13,-4435.960579581955,0.8104119303751656,0.29523723113303124
0.14,-4414.1393141826975,0.8105568914969353,0.29186915157958804
0.15,-4401.782984173384,0.8107187905199081,0.2773756620639991
0.16,-4348.389160207327,0.8108934858138258,0.2575491882781231
0.17,-4285.632067665972,0.8111219094148052,0.21222089148109072
0.18,-4286.098974500582,0.8113871872063636,0.17032487276663916
0.19,-4207.051015709376,0.811670528799354,0.12130185750961572
0.2,-4192.668153773514,0.8120098397545614,0.0655151137485215
0.21,-4229.305138704044,0.8123500748891492,9.802394094625319e-5
0.22,-4281.753167937045,0.8126466622597537,-0.06956027812356638
0.23,-4308.074503132752,0.8128890716988253,-0.12334001287586223
0.24,-4302.1787174888495,0.8131047198502666,-0.16555349620359722
0.25,-4300.301195814058,0.8133190239520028,-0.20354751410958632
0.26,-4336.437530162479,0.8135217636425445,-0.2287191738850898
0.27,-4325.442594990716,0.813694774701436,-0.24013493299629354
0.28,-4280.617584572239,0.8138806769917807,-0.26136410752210776
0.29,-4271.917985715658,0.8140958457828171,-0.28622056460109396
0.3,-4303.562083683715,0.8143098610922381,-0.2999086828868921
0.31,-4359.95111548275,0.8144855608060784,-0.29150862449999787
0.32,-4417.989368497533,0.8146034057430525,-0.2619773405662026
0.33,-4399.898491927567,0.8146747139031731,-0.2270812177437809
0.34,-4327.991656156282,0.8147714759900975,-0.21682076702624614
0.35,-4326.990743861058,0.8149150354360934,-0.21168019865517257
0.36,-4348.690353340415,0.8150568457553964,-0.19648344361037098
0.37,-4376.350611821324,0.8151734435563888,-0.17257930148420922
0.38,-4389.072101108802,0.8152664166070123,-0.14617489536658468
0.39,-4431.005407218868,0.8153348133167431,-0.11287437835241955
0.4,-4388.108243492583,0.8153804676163127,-0.08044232489762256
0.41,-4390.455248376498,0.815454203715849,-0.055060170435236463
0.42,-4385.228559898632,0.8155214682291483,-0.025257786318487283
0.43,-4333.284128939346,0.8156074819853669,-0.002958256819380267
0.44,-4353.004619852391,0.8157193164218756,0.011323401127306927
0.45,-4333.911493418614,0.815823120971274,0.024208215664234936
0.46,-4324.215367353418,0.8159384432860586,0.030116108434659356
0.47,-4314.523477259139,0.8160611367933395,0.0306488195880263
0.48,-4345.156819353058,0.81618348406591,0.028630810218915788
0.49,-4400.766727559352,0.8162696777666832,0.03472769594266083
0.5,-4419.122531200195,0.8163093755382914,0.05122354506994308
0.51,-4425.488293966722,0.8163326656790125,0.07017479600602504
0.52,-4454.90523118576,0.8163407008860194,0.09379773228772402
0.53,-4402.624505531747,0.8163373458110126,0.11658449641655201
0.54,-4336.446225598253,0.8163838206919252,0.1174265286347539
0.55,-4316.027453211285,0.8164809474672224,0.10489115443678922
0.56,-4320.816006276692,0.8165935459050879,0.0894146731281656
0.57,-4315.310696347123,0.816702621475246,0.0731005200341978
0.58,-4326.694649273196,0.8168122650557031,0.05460028617472024
0.59,-4346.800999031584,0.8169060816220315,0.03909575694365799
0.6,-4369.2883499504815,0.8169809250517276,0.026874857955423673
0.61,-4377.740386853531,0.817031779814907,0.02068089571199797
0.62,-4348.764793766771,0.8170846832631509,0.012717569418994875
0.63,-4391.541371571622,0.8171446609973588,0.004419784004666857
0.64,-4401.597290974713,0.8171735084087601,0.0050253098716799135
0.65,-4393.791125030616,0.8171933577117578,0.008142969496839214
0.66,-4354.172025649002,0.8172263080211883,0.007732363236539186
0.67,-4380.92050561971,0.8172818929773709,0.002374690002538197
0.68,-4376.230983467971,0.817316548914315,0.0033365233224060377
0.69,-4343.992912808278,0.8173649799614029,-0.0007020465867128677
0.7,-4374.630758532857,0.817423380479669,-0.0059141066024456755
0.71,-4345.097591075338,0.8174694469236035,-0.008593135302443973
0.72,-4352.205655646417,0.8175326780170504,-0.015917472469192263
0.73,-4365.195561628288,0.8175857706694082,-0.019733947155161028
0.74,-4322.986070949619,0.8176380862083623,-0.024509938815109916
0.75,-4312.452531867867,0.8177218201806585,-0.03808286120636997
0.76,-4351.322063312972,0.8178034564684911,-0.04964969495721145
0.77,-4372.236784648223,0.8178542700828191,-0.05252932100579718
0.78,-4383.627284203596,0.8178833911799297,-0.04929066157035512
0.79,-4368.531747597439,0.8179074978541588,-0.044954325317506046
0.8,-4409.228208470459,0.8179326019971438,-0.03915784203758221
0.81,-4449.732581002718,0.8179203347578305,-0.02195384349229054
0.82,-4471.7308888493,0.8178741175785111,0.004773149329004885
0.83,-4446.907493784761,0.8178136948052341,0.03656831816034582
0.84,-4381.107727928841,0.8177843898519739,0.058843413786350614
0.85,-4317.133089028982,0.8178150986953633,0.06208593420495845
0.86,-4324.29012854199,0.8178941282472377,0.05225648998717058
0.87,-4333.837978405095,0.8179629785132048,0.04513423565576128
0.88,-4268.224974595467,0.8180420696028327,0.030556206121855212
0.89,-4268.218302755315,0.8181620319668724,0.004460366724379128
0.9,-4263.9587830402925,0.8182854391549417,-0.024702881472027607
0.91,-4294.47080430225,0.8184031514298237,-0.054185169903881086
0.92,-4304.423294737462,0.8184952518875442,-0.07720027341288187
0.93,-4347.744986203234,0.8185698829367336,-0.09414904135503926
0.94,-4380.065847469301,0.8186022426183757,-0.09581863728615189
0.95,-4384.339736275443,0.8186118917731111,-0.09235499115400975
0.96,-4415.665694010661,0.8186071539472402,-0.08210111072621658
0.97,-4431.817082407045,0.8185794014895426,-0.06511975274879281
0.98,-4471.754324148243,0.8185294613317918,-0.04061616035729306
0.99,-4447.459038336908,0.8184544727251966,-0.008647015879840106
1.0,-4377.956548613889,0.8184125720867023,0.015069310271223912
1.01,-4398.427910180061,0.8184166099949184,0.027810947927023714
1.02,-4412.211920306435,0.8184038017169493,0.04576268281452751
1.03,-4387.511742539658,0.8183910194437418,0.060910201912099636
1.04,-4432.654582306251,0.8183821947510963,0.07584244341686978
1.05,-4424.886513088027,0.8183448651077375,0.09768246088921538
1.06,-4382.830530415641,0.8183194967736538,0.11107288668526773
1.07,-4315.293087655877,0.818337327896226,0.10756561819930918
